QUOTE;AUTHOR;GENRE
You never choose the way that you're raised, it's just the way that you were raised, but you do get to a certain age where you're in a position to question the expectations of you and the way that you've been formed by your surroundings.;Mia Wasikowska;age
We tried not to age, but time had its rage.;Pete Townshend;age
I want to age with some dignity.;Pete Townshend;age
This is my 20th year in the sport. I've known swimming and that's it. I don't want to swim past age 30 if I continue after this Olympics, and come back in 2016, I'll be 31. I'm looking forward to being able to see the other side of the fence.;Michael Phelps;age
Young man, the secret of my success is that an early age I discovered that I was not God.;Oliver Wendell Holmes, Jr.;age
I'd like to talk about free markets. Information in the computer age is the last genuine free market left on earth except those free markets where indigenous people are still surviving. And that's basically becoming limited.;Russell Means;age
I would often find myself, at the age of 21, at midnight, running down a dark street on my own with 10 men chasing me. And the fact they had cameras in their hands made that legal.;Sienna Miller;age
Bring a wife home to your house when you are of the right age, not far short of 30 years, nor much above this is the right time for marriage.;Hesiod;age
There are only two things a child will share willingly communicable diseases and its mother's age.;Benjamin Spock;age
Although it is generally known, I think it's about time to announce that I was born at a very early age.;Douglas Horton;age
I think it's your mental attitude. So many of us start dreading age in high school and that's a waste of a lovely life. 'Oh... I'm 30, oh, I'm 40, oh, 50.' Make the most of it.;Betty White;age
No, no, I was only funny on stage, really. I, I, think I was funny as a person toward my classmates when I was very young. You know, when I was a child, up to about the age of 12.;Rowan Atkinson;age
What goes on in Europe concerns us greatly because, if Europe comes apart, the E.U. comes apart, then you're going to have enormous impact on America, that's a very big trading partner of ours, and people own securities around the world in this day and age.;Michael Bloomberg;age
Your body actually reminds you about your age and your injuries - the body has a stronger memory than your mind.;Mikhail Baryshnikov;age
People dance at any age.;Mikhail Baryshnikov;age
I never had little brothers, so I was totally not used to hearing a lot of cussing at a young age! I learned what 'pull my finger' meant the hard way.;Danica McKellar;age
My sister and I shared a bedroom our entire lives and I believe she discovered the Beatles when she was about 11 and I'm four years younger. So from the age of 7 until 17 we had nothing but Beatles paraphernalia in our room, even those little stuffed Beatles that went on stands that are dressed as the Sgt. Pepper band.;Christina Ricci;age
But look, I was born in 1956, the peak year for births in US history. I think I'm very representative of many of the thought processes my generation have been through and, by and large, people of my age have had their imprint planted on the consciousness of western society for a long time.;Tom Hanks;age
I basically get stereotyped a lot in terms of being a girl and writing 'chick' music for teenage girls or something. I think, if anything, the press kind of, because of my gender and my age, tends to kind of relegate my work to this sort of special-interest group. It's part of the cultural dynamic, I guess.;Ani DiFranco;age
What is amazing for a woman of my age is that I change as the world is changing-and changing very, very fast. I don't think my mother had that opportunity to change.;Jeanne Moreau;age
I've never worried about age.;Jeanne Moreau;age
To me age is a number, just a number. Who cares?;Jeanne Moreau;age
If you're extremely, painfully frightened of age, it shows.;Jeanne Moreau;age
For a man who has compared himself to Theodore Roosevelt and the nation's challenges to those of the Gilded Age, Obama put forward a tepid agenda.;Ron Fournier;age
I wrote a screenplay for a 'Sweet Valley High' adaptation, and it's really amazing to me how many women who are my age have responded to the idea and are excited about the movie.;Diablo Cody;age
Let age, not envy, draw wrinkles on thy cheeks.;Thomas Browne;age
Here's my Golden Rule for a tarnished age: Be fair with others, but keep after them until they're fair with you.;Alan Alda;age
Children under five are the poorest age group in America, and one in four infants, toddlers and preschoolers are poor during the years of greatest brain development.;Marian Wright Edelman;age
Everyone talks about age, but it's not about age. It's about work ethic. Winning never gets old.;Lisa Leslie;age
Age is a terrible avenger. The lessons of life give you so much to work with, but by the time you've got all this great wisdom, you don't get to be young anymore.;Elizabeth Wurtzel;age
Science cannot tell theology how to construct a doctrine of creation, but you can't construct a doctrine of creation without taking account of the age of the universe and the evolutionary character of cosmic history.;John Polkinghorne;age
I came of age believing that, no matter what happened, I would always be able to support myself.;William J. Clinton;age
'Dallas' hit a chord back in the late Seventies and Eighties because it was the age of greed: here you have this unapologetic character who is mean and nasty and ruthless and does it all with an evil grin. I think people related to JR back then because we all have someone we know exactly like him. Everyone in the world knows a JR.;Larry Hagman;age
I've never been more in love with anyone nearly half my age than I am today. I'd get married in a minute if I weren't still married to somebody else.;Rod Stewart;age
At my age you don't go into fatherhood lightly.;Rod Stewart;age
I didn't know a time when there wasn't a war because I spent all my time from the age of two or three to eight in a coal cellar really.;David Bailey;age
My best friend just had a baby, and she's my age. So I'm a godmom now, which is crazy.;Kristen Stewart;age
I think I'm a bit less inhibited, and not thinking too much before speaking. It's not about being shameful, I'm just a bit more unabashedly myself because of this thing, and it probably started at age 15. I can be around people and say what I think without fear.;Kristen Stewart;age
At a certain age, death becomes familiar to you-or a loss becomes familiar-the tragedies that are more commonplace in life.;Jessica Lange;age
TV is sort of the only way to go for an actress my age to make a decent salary with independent films, you just can't.;Jessica Lange;age
Memory in youth is active and easily impressible in old age it is comparatively callous to new impressions, but still retains vividly those of earlier years.;Charlotte Bronte;age
At its best our age is an age of searchers and discoverers, and at its worst, an age that has domesticated despair and learned to live with it happily.;Flannery O'Connor;age
Study after study confirms that even when you control for variables like profession, education, hours worked, age, marital status, and children, men still are compensated substantially more - even in professions, like nursing, dominated by women. No wonder there's a gender gap.;Dee Dee Myers;age
I learned from a very young age that if I pursued the things that truly excited me, that they would reward in more important ways, like happiness.;Brandon Boyd;age
I always wanted to be a designer. I read books on fashion from the age of 12.;Alexander McQueen;age
When I was a little kid I used to play with guys twice my age, so, I was the last one picked, so if I picked I knew that I had to get the ball to the scorer if I wanted to stay on the court, so that was pretty much my job.;Jason Kidd;age
We have become a society that can't self-correct, that can't address its obvious problems, that can't pull out of its nosedive. And so to our list of disasters let us add this fourth entry: we have entered an age of folly that - for all our Facebooking and the twittling tweedle-dee-tweets of the twitterati - we can't wake up from.;Thomas Frank;age
The divine right of husbands, like the divine right of kings, may, it is hoped, in this enlightened age, be contested without danger.;Mary Wollstonecraft;age
In every age there has been a stream of popular opinion that has carried all before it, and given a family character, as it were, to the century.;Mary Wollstonecraft;age
Look, demanding somebody do anything in this day and age is not going to fly.;John Mayer;age
I was very successful from a very early age, and I want to keep it.;John Mayer;age
When you get to a certain age, there is no coming back.;Brian Clough;age
Most of the basic material a writer works with is acquired before the age of fifteen.;Willa Cather;age
I would always encourage people of any age not to be so quick to follow other people's truths but to search and follow your own moral code and live by your own integrity, and mostly just be brave.;Jewel;age
I don't believe in happy endings, but I do believe in happy travels, because ultimately, you die at a very young age, or you live long enough to watch your friends die. It's a mean thing, life.;George Clooney;age
Even truth needs to be clad in new garments if it is to appeal to a new age.;Georg C. Lichtenberg;age
You can have a spiritual awakening and discover a new side of you at any age. And best of all, love can happen at any age. Life can just start to get exciting when you're in your 40s and 50s. You have to believe that.;Salma Hayek;age
America doesn't reward people of my age, either in day-to-day life or for their performances.;Meryl Streep;age
I really think we should pass a law in every state, I don't care whether it takes the independence away from an old person or not. You shouldn't be driving a car if you're over the age of 80. Maybe even less than that.;Evel Knievel;age
I think I'm past the age of getting lost.;Amanda Seyfried;age
I conceived in art college at the age of 20, near the end of term.;Joni Mitchell;age
I've been screaming at the top of my lungs at my family, 'Work out! Work out! Old age is coming!';Cher;age
It is not classified as a pagan religion. The so-called New Age activities and this are not called religions and therefore don't come under the prohibition of mingling church and state that we have in this country.;Dixie Lee Ray;age
No sex, age, or condition is above or below the absolute necessity of modesty but without it one vastly beneath the rank of man.;Bruce Barton;age
People tend to become more emotionally intelligent as they age and mature.;Daniel Goleman;age
With age, you get to a place where you don't want to knock people out. You just want to give people a hug.;Vin Diesel;age
Age is no barrier. It's a limitation you put on your mind.;Jackie Joyner-Kersee;age
Whoever, fleeing marriage and the sorrows that women cause, does not wish to wed comes to a deadly old age.;Hesiod;age
Age has been the perfect fire extinguisher for flaming youth.;Navjot Singh Sidhu;age
I prefer younger men. In some ways, they are much more open to a woman being stronger and independent then some of the men my age.;Kim Cattrall;age
You have to be desirable. And that's why so many woman of my age or even younger are pushed to Botox and plastic surgery, all the things that people say, 'Why do women do this?' Where do you go in your 50s in your career?;Kim Cattrall;age
It is my art. I am better at it than I ever was. And I will do it as long as I can. When you reach a certain age you can slough off what is unnecessary and concentrate on what is. And why not?;Arthur Miller;age
I feel like a lot of the female relationships I see on TV or in movies are in some way free of the kind of jealousy and anxiety and posturing that has been such a huge part of my female friendships, which I hope lessens a little bit with age.;Lena Dunham;age
At my age, no one is married, no one has kids, no one has a career.;Lena Dunham;age
One of the many pleasures of old age is giving things up.;Malcolm Muggeridge;age
There's also some element of coming of age during the Reagan administration, which everybody has painted as some glorious time in America, but I remember as being a very, very dark time. There was apocalypse in the air the punk rock movement made sense.;John Cusack;age
If you explode onto the scene at a very young age, there are so many people pulling you in different directions. It takes time to recalibrate and see what's important.;Clive Owen;age
Situational unawareness in the private marketplace or on the battlefield will cost you your livelihood or your life. In the Age of Obama, however, such willful ignorance is a job prerequisite. The less you know the better.;Michelle Malkin;age
We virtually never feel our age, but thinking that we should can lead to disaster.;Martha Beck;age
We grew up in a very creative environment and were exposed to the arts at a very young age, so it's not a surprise that all of us are in some form of the arts.;Spike Lee;age
I want to be part of the resurgence of things that are tangible, beautiful and soulful, rather than just give in to the digital age. But when I talk to people about this they just say, 'Yeah, I know what you mean,' and stare at their mobiles.;Jack White;age
I wanted to do two things when I was growing up, about your age. I wanted to play in the NBA, and I wanted to be a businessman after my basketball career was over, and that is what I am doing now.;Magic Johnson;age
The idea of regretting not doing this seemed insane to me. Sitting in the corner at a bar at age 60, saying: 'I could've been Bond. Buy me a drink.' That's the saddest place I could be. At least now at 60 I can say: 'I was Bond. Now buy me a drink.';Daniel Craig;age
There's a vintage which comes with age and experience.;Jon Bon Jovi;age
It's not the normal way to look at things but I experienced death at a really young age and because of that it's been part of my mental landscape that death is really very possible.;Cate Blanchett;age
I've an enormous respect for my mother who at the age of 39 raised three children, and I grew up with my grandmother in the household. And so it was a really strong household of women - my poor brother! It was great growing up with so many generations of women.;Cate Blanchett;age
Every age develops its own peculiar forms of pathology, which express in exaggerated form its underlying character structure.;Christopher Lasch;age
I love my kids, and the moments I have with them, and it's kind of weird, it's such an age old cliche, but the way that my sons, the way they make me feel when I look at them, the way they say things, no one else would probably react to them, but it's a special thing for me.;Michael Rapaport;age
There's a very small group of elite actresses who are my age, who people want to work with. It's not easy to get a good job with good actors.;Amanda Peet;age
A final word: I am not knowledgeable about the internet. I do not have a computer. I guess that at 74 years of age, I don't have the patience to learn.;David Wilkerson;age
It lies in human nature that where you experience your first laughs, you also remember the age kindly.;Vaclav Havel;age
We tried not to age, but time had its rage.;Patti Smith;age
Michelle Pfeiffer hasn't been finding a lot of work recently because she doesn't like what a woman her age is offered. That's a real double standard. You get Sean Connery, who gets older and older, still playing opposite young ladies, but it doesn't work the other way around.;Denzel Washington;age
Old age and treachery will always beat youth and exuberance.;David Mamet;age
My wife and I, unlike many intellectuals, spent five years working on assembly lines. We came to fully understand the criticisms of the industrial age, in which you are an appendage of a machine that sets the pace.;Alvin Toffler;age
Even one voice can be heard loudly all over the world in this day and age.;Aung San Suu Kyi;age
At this age, I should be leading a quiet life.;Aung San Suu Kyi;age
Any new financial order for the world must tackle the three chief challenges of our age.;James Buchan;age
There are signs that the age of petroleum has passed its zenith. Adjusted for inflation, a barrel of crude oil now sells for three times its long-run average. The large western oil companies, which cartellised the industry for much of the 20th century, are now selling more oil than they find, and are thus in the throes of liquidation.;James Buchan;age
With the song 'This Christmas' I wanted to do something that was kind of different. I mean, Donny Hathaway is an amazing artist. So I wanted to bring my flavor to the song so when people over the age of 45 or 50 hear it they'll be like 'OK, he did his thing with that record.' It's like I can appeal to everybody and not just a younger demographic.;Chris Brown;age
In an age when the fashion is to be in love with yourself, confessing to be in love with somebody else is an admission of unfaithfulness to one's beloved.;Russell Baker;age
Rereading A.J. Liebling carries me happily back to an age when all good journalists knew they had plenty to be modest about, and were.;Russell Baker;age
Reason is a crutch for age, but youth is strong enough to walk alone.;John Dryden;age
What's a man's age? He must hurry more, that's all Cram in a day, what his youth took a year to hold.;Robert Browning;age
What Youth deemed crystal, Age finds out was dew.;Robert Browning;age
A face to lose youth for, to occupy age With the dream of, meet death with.;Robert Browning;age
I believe the true function of age is memory. I'm recording as fast as I can.;Rita Mae Brown;age
So Harry Potter came in and it is nice that I have kids of the right age. I took them to London and they walked around the set and met Harry Potter and that is thrilling.;Gary Oldman;age
All we can do when we think of kids today is think of more hours of school, earlier age at the computer, and curfews. Who would want to grow up in that world?;James Hillman;age
The reason for the sadness of this modern age and the men who live in it is that it looks for the truth in everything and finds it.;Edmond de Goncourt;age
No, but way before that, I've been doing little dances in movies for years. Yeah, that was an amazing chance. You know, at my age to be able to do a music dance video, very unusual.;Christopher Walken;age
There probably aren't a lot of actors my age who tap dance.;Christopher Walken;age
I started auditioning when I was about 10 and I didn't get my first job until I was 12, and two years at that age is really hard.;Anna Kendrick;age
I remember being in Hollywood at the age of 16 and marveling at the stars. The idea of being part of it never entered my mind. It was too far-fetched.;Bryan Adams;age
The older generation had greater respect for land than science. But we live in an age when science, more than soil, has become the provider of growth and abundance. Living just on the land creates loneliness in an age of globality.;Shimon Peres;age
One of my grandfathers, actually, having gone out there as a minister, decided he would better serve the people as a doctor. So at a very late age - at the age of 38 in fact - he changed course and decided to become a doctor.;Colin Firth;age
I'm totally into new age and self-help books. I used to work in a bookstore and that's the section they gave me, and I got way into it. I just loved the power of positive thinking, letting yourself go.;Jason Mraz;age
It's the kind of clothes that mothers and daughters can wear, in terms of concept... It's not about age. It's about taste, and it's about lifestyle. I believe women of all ages can wear anything.;Ralph Lauren;age
The reason for the slow progress of the world seems to lie in a single fact. Every man is born under the yoke, and grows up beneath the oppressions of his age.;John Jay Chapman;age
A newspaper is lumber made malleable. It is ink made into words and pictures. It is conceived, born, grows up and dies of old age in a day.;Jim Bishop;age
Just as we reject racism, sexism, ageism, and heterosexism, we reject speciesism. The species of a sentient being is no more reason to deny the protection of this basic right than race, sex, age, or sexual orientation is a reason to deny membership in the human moral community to other humans.;Gary L. Francione;age
I am a grandmother now, and that means age is creeping on, creeping on.;Lillie Langtry;age
I love things that age well - things that don't date, that stand the test of time and that become living examples of the absolute best.;Giorgio Armani;age
Many women my age have known the experience of giving up crucial parts of themselves to please the man they love.;Joyce Maynard;age
American Idol transcends age, gender, ethnicity, everything.;Carrie Underwood;age
You get to a certain age and you can't judge yourself on your dad or your parents.;Ellie Goulding;age
I'd like to look like Madonna when I'm her age. I also look at athletes and love their bodies. I've always wanted to be muscly, not skinny. A lot of women yo-yo around, but I'm always aware if I'm getting a bit out of shape. I never look at the scales but I can just tell. It goes on my tum and bum.;Ellie Goulding;age
I could always sing, from a really young age, but my voice was really weird. I used to make my mum turn up the radio every day in our house. She was well into music so I got that from her.;Ellie Goulding;age
I think women get caught up too much in having a plan - 'I'm going to get married at this age I'm going to have a kid at this age' - and then they just try to find a guy who will fit into that picture. I don't want my life to be based on that.;Julia Stiles;age
I was always concerned with writing to my age at a particular moment. That was the way I would keep faith with the audience that supported me as I went along.;Bruce Springsteen;age
Experts tell us that 90% of all brain development occurs by the age of five. If we don't begin thinking about education in the early years, our children are at risk of falling behind by the time they start Kindergarten.;Robert. L. Ehrlich;age
When I was seventeen, I worked as a counsellor at a co-ed sleep-away camp for eight weeks. I loved it but it could be harrowing - it was far too much responsibility for someone my age.;Harlan Coben;age
Music has always been my protection against the world, from a very young age. I feel safe inside of a jam.;Trey Anastasio;age
We are the children of a technological age. We have found streamlined ways of doing much of our routine work. Printing is no longer the only way of reproducing books. Reading them, however, has not changed.;Lawrence Clark Powell;age
Religion is the best antidote to the individualism of the consumer age. The idea that society can do without it flies in the face of history and, now, evolutionary biology.;Jonathan Sacks;age
Religiosity turns out to be the best indicator of civic involvement: it's more accurate than education, age, income, gender or race.;Jonathan Sacks;age
The year I was born, 1956, was the peak year for babies being born, and there are more people essentially our age than anybody else. We could crush these new generations if we decided too.;Tom Hanks;age
Adulthood is the ever-shrinking period between childhood and old age. It is the apparent aim of modern industrial societies to reduce this period to a minimum.;Thomas Szasz;age
I was born at the age of twelve on a Metro-Goldwyn-Mayer lot.;Edward Koch;age
We live in an age of instant knowledge. And there's almost a sense of entitlement to that.;J. J. Abrams;age
It's the golden age of French cinema again but it's because Sarkozy had the guts to push through copyright law.;Harvey Weinstein;age
I started in the restaurant business at the age of 19 as a waitress. I loved the atmosphere and the camaraderie of the restaurant business. I loved not having to go to an office. I loved making people happy.;Anne Burrell;age
My view is pensioners don't have the one option that people of working age have. They can't really increase their income, because they are no longer able to work.;Iain Duncan Smith;age
Work is transformative. It gives you a greater chance of a greater income. You can affect your life while you're of working age, so you have scope and opportunity. Pensioners do not.;Iain Duncan Smith;age
I think you can't really escape any kind of spiritual education as a child, whether it's New Age or Judaism or Buddhism or whatever it is. You can't escape it, even if you completely disagree with it, you still have it as a foundation that you base things off of.;Jack White;age
At my age the only problem is with remembering names. When I call everyone darling, it has damn all to do with passionately adoring them, but I know I'm safe calling them that. Although, of course, I adore them too.;Richard Attenborough;age
What I really tried to do with Helen was make her show this sad side of her. She was married off at 16, was so young and living in this castle that can't leave because of how she looks, and married to a man she hates and three times her age.;Diane Kruger;age
I never took guitar lessons. I took classical piano lessons from the age of six when we lived in Holland. And when we moved to America, it was just the typical thing except I was really good at it so was my brother.;Eddie Van Halen;age
I never took guitar lessons. I took classical piano lessons from the age of six when we lived in Holland.;Eddie Van Halen;age
When I write about a 15-year old, I jump, I return to the days when I was that age. It's like a time machine. I can remember everything. I can feel the wind. I can smell the air. Very actually. Very vividly.;Haruki Murakami;age
We live in an age, in an era where there is so much negativity, there is so much violence in the world, there is so much unrest and people are at war, that I wanted to promote the word love and red signifies love.;Elton John;age
I'm 20 years old. I like to party as much as anyone my age. Going clubbing is my way of relaxing or releasing a lot of stress. I don't feel that I should have to justify that part of my life. I don't know that I'm necessarily an addict.;Lindsay Lohan;age
I am happy being able to play roles with people my age because once you do something really mature there is no turning back.;Lindsay Lohan;age
Compared to a lot of actresses my age, I'm actually overweight.;Lindsay Lohan;age
This is what I asked for, and in this day and age that's what actually goes on. But what hurts me the most is that I work just as hard as any other actress around my age, like Scarlett Johansson, but I just don't get the opportunities that they get because people are so distracted by the mess that I created in my life.;Lindsay Lohan;age
At a young age, I was interested in comic books, which was really how I learnt to read. The name Cage came from a comic book character called Power Man.;Nicolas Cage;age
There is a certain age at which a child looks at you in all earnestness and delivers a long, pleased speech in all the true inflections of spoken English, but with not one recognizable syllable.;Annie Dillard;age
I can't wait to be that age and hanging out with a bunch of people hanging out all day playing golf and going to the beach, all my own age. We'd be laughing and having a good time and getting loopy on our prescription drugs. Driving golf carts around. I can't wait.;Cameron Diaz;age
I would love a family. I'm at the age where the wish for a child gets stronger. But who knows.;Cameron Diaz;age
I love physical kinds of comedy and getting down and dirty and doing stunts. When I was growing up, I was always getting into fights with guys and usually punching out boys my age because I was a lot bigger and tougher. So I'm naturally accustomed to putting myself into the headspace of a girl who can take care of herself.;Cameron Diaz;age
Love, with very young people, is a heartless business. We drink at that age from thirst, or to get drunk it is only later in life that we occupy ourselves with the individuality of our wine.;Isak Dinesen;age
Age for me is just a number.;Haile Gebrselassie;age
You hit a certain age and - especially because of TV - the young cooks coming up say, 'You're a sellout, because you're doing something other than what you should be doing.' 'Top Chef' is a double-edged sword for me: There's a whole group of people who will not come to the restaurants because they assume I'm not in them anymore, all I do is TV.;Tom Colicchio;age
Some of your teachers are actually closer in age to you than you think.;Maya Lin;age
From an early age I didn't buy into the value systems of working hard in a nine-to-five job. I thought creativity, friendship and loyalty and pushing the boundaries of what was acceptable was much more interesting.;Adam Clayton;age
I didn't have any success in show business until I was 30 to 31 years of age.;Adam Carolla;age
I hate the idea that you shouldn't wear something just because you're a certain age.;Miuccia Prada;age
I am firmly of the opinion that women who make a lot of effort to hang onto their looks in middle age (unless they are beauties, entertainers or prostitutes) are rather sad, as one should surely have something more substantial to recommend one by this time, such as kindness or cleverness.;Julie Burchill;age
As a precocious teen I dreamed of being Graham Greene. Well, as it turned out, I never wrote a great novel, sadly, and I never converted to Catholicism, happily, but I did do one thing he did. That is, in middle age I moved to a seaside town and got into a right barney with the local powers-that-be.;Julie Burchill;age
Age should not have its face lifted, but it should rather teach the world to admire wrinkles as the etchings of experience and the firm line of character.;Clarence Day;age
Age is only a number, a cipher for the records. A man can't retire his experience. He must use it. Experience achieves more with less energy and time.;Bernard Baruch;age
To me, old age is always fifteen years older than I am.;Bernard Baruch;age
I wear clothes that most people in the Midwest would probably deem inappropriate at my age. And I rock a bikini all summer long. I know that it's not normal, but I just don't care. I live once.;Liz Phair;age
I've lost touch with a lot of that boutique-type music just because of my age, and raising my son and the multiple jobs I have at this point.;Liz Phair;age
There's no way to approach anything in an objective way. We're completely subjective our view of the world is completely controlled by who we are as human beings, as men or women, by our age, our history, our profession, by the state of the world.;Charlie Kaufman;age
Age is not measured by years. Nature does not equally distribute energy. Some people are born old and tired while others are going strong at seventy.;Dorothy Thompson;age
Maybe it is something to do with age, but I have become fonder of poetry than of prose.;Aung San Suu Kyi;age
When I was younger, my whole sense of self-worth was based on whether or not I was working, which was awful. And I had a baby at 20 years old, so it wasn't just about me. At around the age of 30 there was a stretch where I wasn't working - certainly not on anything I liked, anyway - and I started to do other things.;Kiefer Sutherland;age
I grew up on the golden age of children's TV.;Edward Norton;age
I do wish I could tell you my age but it's impossible. It keeps changing all the time.;Greer Garson;age
Pretend to be dumb, that's the only way to reach old age.;Friedrich Durrenmatt;age
The excitement of learning separates youth from old age. As long as you're learning you're not old.;Rosalyn S. Yalow;age
The history of my life must begin by the earliest circumstance which my memory can evoke it will therefore commence when I had attained the age of eight years and four months.;Giacomo Casanova;age
We are in an electronic technology age now and it's about time we put away the old stuff.;Monica Edwards;age
At the age of 20 I bought a used Fiat 127. This was the only one I could afford!;Carlos Ghosn;age
At my age, I don't think anyone is untouched by cancer.;Bryan Cranston;age
We try, we fail, we posture, we aspire, we pontificate - and then we age, shrink, die, and vanish.;George Saunders;age
My habit would have been to veer towards the dark - to prove I was something edgy, or maybe to prove that I was cognisant of the dark side. Now, with age and confidence, I can say, yeah, that's true, but I am cognisant of the fact that people can do things well. And can be more loving than you expect.;George Saunders;age
It is not possible to live in this age if you don't have a sense of many contradictory forces.;Rem Koolhaas;age
I'm very accepting with my age. It's like notches on your belt: experience, wisdom, and a different kind of beauty. There comes a day when you've become comfortable in your skin.;Zoe Saldana;age
You need some insecurity if you're an actor. It keeps the pot boiling. I haven't yet started to think about retiring. I was shocked when I heard about Paul Newman retiring at age 82. Most actors just fade away like old soldiers.;Al Pacino;age
It's hard for women at my age in Hollywood, but I'm not discouraged.;Jane Fonda;age
We're still living with the old paradigm of age as an arch. That's the old metaphor: You're born, you peak at midlife and decline into decrepitude.;Jane Fonda;age
We can no longer waste time and money. Every day, more than 2,000 girls in America, age 15-19, give birth - in the wealthiest, most educated nation in the world! Neither you nor I should accept this statistic.;Jane Fonda;age
The reality is sobering: in the United States one in three girls will become pregnant before age 20, totaling more than 750,000 girls per year.;Jane Fonda;age
I am hoping for peaceful transition into a new age. Obama has already played a great role in initiating us into that vision. If he were to be harmed in any way, it would spawn the birth of a million Obamas.;Saul Williams;age
I definitely don't look my age. So I actively look for roles that will help people change their perception of me.;Elijah Wood;age
The age thing really bugs me. Do people have more of a right to not like what I say because I'm 19?;Fiona Apple;age
There are a lot of downsides to being male. We age faster and die younger. But give us this: we're lifetime baby-making machines. Women's reproductive abilities start to wane when they're as young as 35. Men? We're good to go pretty much till we're dead.;Jeffrey Kluger;age
Older fatherhood isn't all bad: testosterone rates drop about 1% per year as men age, making them less reactive and more patient, and a professionally established middle-aged man is likely to have more time and money to devote to his kids than a twenty-something who's just getting started.;Jeffrey Kluger;age
Credit or debit cards, for starters, are nothing short of shoppers' Novocain. Even in the age of digital purchases and virtual money, we still attach a special value to dirty paper with pictures of presidents on it. Handing some of that to a cashier simply hurts more than handing over a little sliver of plastic.;Jeffrey Kluger;age
When it comes to raising civilized kids there are no hard rules, but there are two things on which most parents agree: Boys are generally wilder than girls, and adolescents are wilder than kids of any other age. If you've got an adolescent boy, you're in the sweet spot for trouble.;Jeffrey Kluger;age
It seems to me there is a change in what audiences want to see. I can only hope that's correct, because there's an awful lot of people of my age around now and we outnumber the others.;Maggie Smith;age
A truly great book should be read in youth, again in maturity and once more in old age, as a fine building should be seen by morning light, at noon and by moonlight.;Robertson Davies;age
In Hollywood, you play a mom, and the next thing you know, you're on 'The Golden Girls.' They age you so fast.;Gabrielle Union;age
A great age of literature is perhaps always a great age of translations.;Ezra Pound;age
I can't get my knickers in a twist about my age and ageing in an industry that caters to the ids of 14-year-olds.;Vera Farmiga;age
I was living on the wrong side of the tracks in Evanston, Illinois, in a home for boys. We had these Jackson 5 records. I really related to their voices - they were about my age, but they were doing it.;Eddie Vedder;age
By age seven, I used to comb my hair for performances, just pull my hair up into a bun. Granted, it wasn't a very intricate hairstyle. Still, to be that responsible and disciplined at age seven is unusual.;Janet Jackson;age
It begins and ends with money. It's absurd in this day and age when we need so much money for education, health, for people, that a $100 million dollars can be spent on a film. It's obscene.;Kathleen Turner;age
I am at that age when you panic at the slightest thing.;Rupert Everett;age
Being gay and being a woman has one big thing in common, which is that we both become invisible after the age of 42. Who wants a gay 50-year-old? No one, let me tell you.;Rupert Everett;age
I began to speak well at a very advanced age - 15, 16, 17 years old. It was psychological: the trauma of war, my family and growing up on my own. I was more or less a street kid.;Roberto Cavalli;age
We Jews have a special attachment to the Book. The study of page after page in tomes yellowing with age was obligatory.;Theodore Bikel;age
Having come to live in this age is as though one were to have entered another country. Learn its language or risk being left out.;Theodore Bikel;age
I don't want to look at other people my age in leather. Why would I put it on?;George Michael;age
I believe that the fight against crime starts in the home. Parents must take responsibility for their children and show them love and guidance from an early age so they learn to respect the rights of others.;Blanche Lincoln;age
At an early age, I started my own paper route. Once I saw how you could service people and do a good job and get paid for it, I just wanted to be the best I could be in whatever I did.;Puff Daddy;age
Middle age: when you begin to exchange your emotions for symptoms.;Irvin S. Cobb;age
Brain power improves by brain use, just as our bodily strength grows with exercise. And there is no doubt that a large proportion of the female population, from school days to late middle age, now have very complicated lives indeed.;A. N. Wilson;age
I began to understand my sensations, to know what I wanted, at around the age of forty - but only vaguely.;Camille Pissarro;age
I grew up on a farm in a small town where you do or say one thing and everybody knows about it. You see it happen, there's always the town gossip - 'Oh did you hear about so and so, or did you hear what went on in this household?' So I learned at a very young age just to keep my mouth shut.;Garrett Hedlund;age
If you love somebody, you love them. My parents had a 25-year age gap between them and my mum was the breadwinner, my dad the house husband. I'm a strong believer that a good relationship can work, whatever the situation.;Katherine Jenkins;age
The Border Ballads, for instance, and the Robin Hood Ballads, clearly suppose a state of society which is nothing but a very circumscribed and not very important heroic age.;Lascelles Abercrombie;age
By the age of 9 or 10, I knew that I had to cut my own cloth and make my own way.;John le Carre;age
When you're my age and you see a story, you better go for it pretty quickly. I'd just like to get a few more novels under my belt.;John le Carre;age
Catholics and evangelicals need to remain allied, and in solidarity, against the increasingly aggressive secularism of our age.;Gary Bauer;age
I don't know whether it's age or maturity, but I certainly find myself committed more and more to the looser forms of Western democracy at any price.;John le Carre;age
Losing both parents at a young age gave me a sense that you can't really control life - so you'd better live it while it's here. I stopped believing in a storybook existence a long time ago. All you can do is push in a direction and see what comes of it.;Jon Hamm;age
Old age is not a disease - it is strength and survivorship, triumph over all kinds of vicissitudes and disappointments, trials and illnesses.;Maggie Kuhn;age
I was a very sickly kid. While I was in the hospital at age 7, my Dad brought me a stack of comic books to keep me occupied. I was hooked.;Len Wein;age
Study until twenty-five, investigation until forty, profession until sixty, at which age I would have him retired on a double allowance.;Thomas Moore;age
In the digital age of 'overnight' success stories such as Facebook, the hard slog is easily overlooked.;James Dyson;age
The greatest writers of this age... are aware of the mystery of our existence.;J. B. Priestley;age
